"ALABAMA"	"1"	"0"
"ALASKA"	"2"	"0"
"ARIZONA"	"4"	"0"
"ARKANSAS"	"5"	"0"
"CALIFORNIA"	"6"	"208807000"
"COLORADO"	"8"	"0"
"CONNECTICUT"	"9"	"0"
"DELAWARE"	"10"	"0"
"FLORIDA"	"12"	"0"
"GEORGIA"	"13"	"0"
"HAWAII"	"15"	"0"
"IDAHO" 	"16"	"86452000"
"ILLINOIS"	"17"	"5068000"
"INDIANA"	"18"	"0"
"IOWA"  	"19"	"31512000"
"KANSAS"	"20"	"0"
"KENTUCKY"	"21"	"0"
"LOUISIANA"	"22"	"0"
"MAINE"  	"23"	"0"
"MARYLAND"	"24"	"0"
"MASSACHUSETTS"	"25"	"0"
"MICHIGAN"	"26"	"0"
"MINNESOTA"	"27"	"69728000"
"MISSISSIPPI"	"28"	"0"
"MISSOURI"	"29"	"0"
"MONTANA"	"30"	"0"
"NEBRASKA"	"31"	"0"
"NEVADA"	"32"	"0"
"NEW HAMPSHIRE"	"33"	"0"
"NEW JERSEY"	"34"	"4889000"
"NEW MEXICO"	"35"	"79038000"
"NEW YORK"	"36"	"66256000"
"NORTH CAROLINA""37"	"0"
"NORTH DAKOTA"	"38"	"0"
"OHIO"  	"39"	"20510000"
"OKLAHOMA"	"40"	"0"
"OREGON"	"41"	"0"
"PENNSYLVANIA"	"42"	"39420000"
"RHODE ISLAND"	"44"	"0"
"SOUTH CAROLINA""45"	"0"
"SOUTH DAKOTA"	"46"	"43253000"
"TENNESSEE"	"47"	"0"
"TEXAS" 	"48"	"0"
"UTAH"	        "49"	"0"
"VERMONT"	"50"	"11279000"
"VIRGINIA"	"51"	"0"
"WASHINGTON"	"53"	"0"
"WEST VIRGINIA"	"54"	"0"
"WISCONSIN"	"55"	"289699000"
"WYOMING"	"56"	"0"
